SN,Movie,Worldwide (In Cr),India Net (In Cr),India Gross (In Cr),Overseas (In Cr),Budget ( In Cr),Verdict,Genre,Movie Rating
1,Pathaan,"₹ 1,050.00",₹ 524.00,₹ 657.00,₹ 392.00,₹ 250.00,All Time Blockbuster,"Action,thriller",9.3
2,Baahubali 2 The Conclusion,"₹ 1,788.00",₹ 510.00,"₹ 1,416.00",₹ 371.00,₹ 250.00,All Time Blockbuster,"Action,thriller",9.2
3,KGF Chapter 2,"₹ 1,208.00",₹ 435.00,"₹ 1,000.00",₹ 207.00,₹ 100.00,All Time Blockbuster,"Action,thriller",9
4,Dangal,"₹ 2,070.00",₹ 374.00,₹ 535.00,"₹ 1,535.00",₹ 70.00,All Time Blockbuster,Drama,9
5,Sanju,₹ 588.00,₹ 342.00,₹ 438.00,₹ 150.00,₹ 100.00,All Time Blockbuster,"Crime, Drama",9
6,PK,₹ 792.00,₹ 340.00,₹ 489.00,₹ 303.00,₹ 85.00,All Time Blockbuster,"Action, Drama",8.9
7,Tiger Zinda Hai,₹ 558.00,₹ 339.00,₹ 433.00,₹ 124.00,₹ 210.00,Blockbuster,"Action,thriller",8.9
8,Bajrangi Bhaijaan,₹ 922.00,₹ 320.00,₹ 432.00,₹ 489.00,₹ 90.00,All Time Blockbuster,"Biography, Drama",8.9
9,War,₹ 471.00,₹ 303.00,₹ 375.00,₹ 96.00,₹ 150.00,Blockbuster,"Action, Adventure, thriller",8.8
10,Padmaavat,₹ 585.00,₹ 302.00,₹ 400.00,₹ 185.00,₹ 215.00,Blockbuster,"Drama,biography",8.8
11,Sultan,₹ 627.00,₹ 300.00,₹ 421.00,₹ 206.00,₹ 80.00,Blockbuster,"Action, Drama",8.8
12,Kabir Singh,₹ 377.00,₹ 278.00,₹ 330.00,₹ 47.00,₹ 55.00,All Time Blockbuster,"Drama, Romance",8.8
13,Tanhaji: The Unsung Warrior,₹ 361.00,₹ 277.00,₹ 325.00,₹ 36.00,₹ 150.00,Blockbuster,"Action,thriller",8.8
14,RRR,"₹ 1,230.00",₹ 272.00,₹ 915.00,₹ 314.00,₹ 550.00,Blockbuster,"Action, Adventure, Drama",8.7
15,Dhoom 3,₹ 558.00,₹ 271.00,₹ 372.00,₹ 186.00,₹ 175.00,All Time Blockbuster,"Action, thriller",8.7
16,The Kashmir Files,₹ 341.00,₹ 252.00,₹ 295.00,₹ 46.00,₹ 20.00,All Time Blockbuster,"Biography, Crime,drama",8.7
17,Brahmastra Part One: Shiva,₹ 431.00,₹ 249.00,₹ 318.00,₹ 113.00,₹ 350.00,Hit,"Action, romance,drama",8.7
18,URI The Surgical Strike,₹ 341.00,₹ 244.00,₹ 293.00,₹ 48.00,₹ 70.00,All Time Blockbuster,"history,biography",8.7
19,Simmba,₹ 390.00,₹ 240.00,₹ 295.00,₹ 95.00,₹ 90.00,Blockbuster,"Action,thriller",8.6
20,Drishyam 2,₹ 342.00,₹ 239.00,₹ 282.00,₹ 59.00,₹ 50.00,All Time Blockbuster,"Action,thriller",8.6
21,Kick,₹ 378.00,₹ 231.00,₹ 310.00,₹ 68.00,₹ 100.00,SuperHit,"action,thriller",8.6
22,Krrish 3,₹ 374.00,₹ 231.00,₹ 313.00,₹ 61.00,₹ 94.00,Blockbuster,"Adventure, Drama, ",8.6
23,Chennai Express,₹ 422.00,₹ 227.00,₹ 310.00,₹ 112.00,₹ 115.00,SuperHit,"Crime, Drama,action",8.6
24,Bharat,₹ 321.00,₹ 212.00,₹ 251.00,₹ 70.00,₹ 165.00,Hit,"Animation, Adventure, Family",8.6
25,Housefull 4,₹ 296.00,₹ 210.00,₹ 247.00,₹ 49.00,₹ 175.00,SuperHit,"Drama, War",8.6
26,Prem Ratan Dhan Payo,₹ 405.00,₹ 210.00,₹ 310.00,₹ 95.00,₹ 180.00,SuperHit,"Crime, Drama, Fantasy",8.6
27,Golmaal Again,₹ 308.00,₹ 205.00,₹ 262.00,₹ 45.00,₹ 80.00,Blockbuster,"Comedy, Drama, Romance",8.6
28,Good Newwz,₹ 316.00,₹ 205.00,₹ 242.00,₹ 74.00,₹ 60.00,Blockbuster,"Crime, Drama, Mystery",8.6
29,Mission Mangal,₹ 290.00,₹ 203.00,₹ 236.00,₹ 54.00,₹ 40.00,Blockbuster,"Crime, Drama, Thriller",8.6
30,3 Idiots,₹ 460.00,₹ 202.00,₹ 274.00,₹ 186.00,₹ 55.00,All Time Blockbuster,"Action, Adventure, Fantasy",8.6
31,Happy New Year,₹ 397.00,₹ 199.00,₹ 295.00,₹ 102.00,₹ 150.00,Hit,"Action, Drama, Mystery",8.6
32,Ek Tha Tiger,₹ 320.00,₹ 198.00,₹ 263.00,₹ 57.00,₹ 75.00,Blockbuster,"Action, Adventure, Drama",8.6
33,Sooryavanshi,₹ 293.00,₹ 195.00,₹ 230.00,₹ 62.00,₹ 180.00,SuperHit,"Drama, Family, Fantasy",8.6
34,2,₹ 744.00,₹ 190.00,₹ 551.00,₹ 193.00,₹ 543.00,Average,"Crime, Drama, Thriller",8.5
35,Yeh Jawaani Hai Deewani,₹ 318.00,₹ 188.00,₹ 242.00,₹ 76.00,₹ 75.00,Blockbuster,"Drama, Music",8.5
36,Bhool Bhulaiyaa 2,₹ 265.00,₹ 184.00,₹ 216.00,₹ 49.00,₹ 80.00,Blockbuster,"Biography, Comedy, Drama",8.5
37,Bajirao Mastani,₹ 362.00,₹ 184.00,₹ 263.00,₹ 99.00,₹ 145.00,Hit,"Drama, Mystery, ",8.5
38,Bang Bang!,₹ 340.00,₹ 174.00,₹ 270.00,₹ 70.00,₹ 160.00,Hit,"Crime, Drama, Thriller",8.5
39,Race 3,₹ 300.00,₹ 169.00,₹ 217.00,₹ 83.00,₹ 170.00,Average,"Biography, Drama, Music",8.5
40,Baaghi 2,₹ 257.00,₹ 165.00,₹ 211.00,₹ 45.00,₹ 75.00,Blockbuster,"Action, Adventure, Drama",8.5
41,Raees,₹ 285.00,₹ 164.00,₹ 227.00,₹ 57.00,₹ 92.00,Hit,Drama,8.5
